gene_name,gene_id,n_snps,best_p,min_dist
XLOC_003000,XLOC_003000,8,2.7556752608232043e-07,0
nwk,FBgn0263456,5,3.027168559080485e-07,0
CG12858,FBgn0033958,2,6.011943511153677e-07,0
alpha-Cat,FBgn0010215,7,6.858576783413878e-07,0
XLOC_003002,XLOC_003002,2,7.673242195397897e-07,4758
AGO3,FBgn0250816,10,8.927018730789702e-07,0
Abd-B,FBgn0000015,2,1.3607013493309676e-06,0
sano,FBgn0034408,5,1.4964312386288997e-06,0
nAcRalpha-80B,FBgn0037212,4,1.9121781850894997e-06,0
CG32230,FBgn0052230,1,2.1281824661570885e-06,0
CG43968,FBgn0264699,2,2.4475173987031793e-06,411
Snap25,FBgn0011288,2,3.0018456283179344e-06,0
XLOC_003740,XLOC_003740,1,3.9369706118989e-06,2561
fz,FBgn0001085,1,4.888193107547253e-06,0
rdx,FBgn0264493,2,4.9516429425471726e-06,0
Obp99b,FBgn0039685,5,4.9627533156535404e-06,365
Octbeta2R,FBgn0038063,1,5.70822890719893e-06,0
Ncc69,FBgn0036279,1,6.1828815666630734e-06,0
Ddr,FBgn0053531,2,6.5666845434062e-06,0
Use1,FBgn0035965,1,6.65101898347538e-06,165
CR43992,FBgn0264724,1,7.127582240536888e-06,2174
beat-VI,FBgn0039584,3,7.897645703775298e-06,0
XLOC_002294,XLOC_002294,2,8.105000541486228e-06,527
CG40470,FBgn0058470,5,9.056113016243278e-06,0
path,FBgn0036007,1,9.099640927387047e-06,0
CG2321,FBgn0039663,1,9.881647837612774e-06,0
Vmat,FBgn0260964,1,1.0033594749307534e-05,0
Oct-TyrR,FBgn0004514,2,1.0747207463463886e-05,0
Or83c,FBgn0037399,1,1.0938190768731345e-05,0
nmo,FBgn0011817,1,1.1568352079726122e-05,0
Or85f,FBgn0037685,1,1.2169055784849513e-05,0
Srp9,FBgn0035827,1,1.235273272602568e-05,72
XLOC_002848,XLOC_002848,1,1.3648233564520628e-05,768
CG5888,FBgn0028523,2,1.3910518090835879e-05,0
GluClalpha,FBgn0024963,2,1.3919365206708742e-05,4174
CG6511,FBgn0035923,1,1.4543992112934796e-05,0
hoe1,FBgn0041150,3,1.4582039440694272e-05,0
Pi3K68D,FBgn0015278,3,1.4789434844452792e-05,0
XLOC_004892,XLOC_004892,2,1.4797874912861497e-05,3364
hdc,FBgn0010113,2,1.5741957343090955e-05,0
Nrt,FBgn0004108,1,1.582244904065324e-05,4525
CG34274,FBgn0085303,1,1.6422053087949286e-05,1023
CG13325,FBgn0033792,1,1.679694885309859e-05,0
XLOC_003409,XLOC_003409,1,1.7203303087182445e-05,294
CG42458,FBgn0259935,2,1.804189869711439e-05,0
GRHRII,FBgn0036278,3,1.810733618551054e-05,0
Syp,FBgn0038826,1,1.8790031916545153e-05,0
Eip63F-1,FBgn0004910,1,1.9543040160416292e-05,0
Rgk1,FBgn0264753,1,1.9679318635736122e-05,0
gukh,FBgn0026239,1,2.018526144887454e-05,0
TrpA1,FBgn0035934,1,2.0583496765957176e-05,0
CG11873,FBgn0039633,1,2.0657611860352957e-05,0
S6k,FBgn0015806,1,2.2730570220586184e-05,0
CG42272,FBgn0259167,1,2.2730570220586184e-05,0
CYLD,FBgn0032210,1,2.2768454195143023e-05,26
XLOC_002601,XLOC_002601,1,2.2893196722140906e-05,0
CG44257,FBgn0265197,1,2.3070055210966127e-05,0
CG2794,FBgn0031265,1,2.3393424936288137e-05,274
CG12484,FBgn0086604,1,2.3659264567639283e-05,4054
CG12983,FBgn0037040,1,2.460934902599013e-05,0
cic,FBgn0262582,1,2.4946782092254262e-05,0
side,FBgn0016061,1,2.4956499777999855e-05,0
XLOC_002590,XLOC_002590,1,2.5832043018883326e-05,1869
CG12861,FBgn0033953,1,2.6894394521280452e-05,2499
XLOC_002274,XLOC_002274,1,2.6989054866547393e-05,0
CG33467,FBgn0053467,1,2.74200094847871e-05,1761
CG9568,FBgn0032087,1,2.7689704941867486e-05,0
XLOC_002918,XLOC_002918,2,2.8067700682884903e-05,0
CG14837,FBgn0035797,1,2.8081551262307362e-05,185
sda,FBgn0015541,1,2.889304435559767e-05,0
CG17698,FBgn0040056,1,2.941946270904573e-05,0
CG16791,FBgn0038881,1,2.949516896892603e-05,0
poly,FBgn0086371,1,2.9566179280824227e-05,0
Sdc,FBgn0010415,1,3.0108882517671768e-05,0
Ent3,FBgn0036319,2,3.0439257696296886e-05,0
Gr22e,FBgn0045497,1,3.0641275410758666e-05,600
XLOC_001707,XLOC_001707,1,3.0781047096890666e-05,0
nAcRalpha-34E,FBgn0028875,1,3.0900995911869126e-05,355
Rgk3,FBgn0085426,1,3.1301766673721366e-05,0
CG16898,FBgn0034480,1,3.152234789658227e-05,0
XLOC_003896,XLOC_003896,1,3.1566810901764426e-05,0
XLOC_002649,XLOC_002649,1,3.174371230574996e-05,1610
XLOC_000809,XLOC_000809,1,3.2638726324116426e-05,487
Mst87F,FBgn0002862,1,3.453050252159128e-05,0
CG10307,FBgn0034655,1,3.558638490424314e-05,30
XLOC_001966,XLOC_001966,1,3.585127767933922e-05,2198
CG44252,FBgn0265187,1,3.613586129520691e-05,0
CG15440,FBgn0031607,1,3.655437297553238e-05,0
CG14869,FBgn0038341,1,3.676715114958968e-05,0
fred,FBgn0051774,1,3.717788899996138e-05,1554
XLOC_003167,XLOC_003167,1,3.761990274072111e-05,4797
Cp1,FBgn0013770,1,3.9910602227046445e-05,0
CG31345,FBgn0051345,1,3.992627522967924e-05,2185
grn,FBgn0001138,1,4.166475121006746e-05,3710
CG7329,FBgn0032271,1,4.263963711214622e-05,0
XLOC_002170,XLOC_002170,1,4.399002415380094e-05,45
CG6475,FBgn0038886,1,4.4584756140241145e-05,0
Rgk2,FBgn0085419,1,4.468803520102687e-05,0
CG13323,FBgn0033788,1,4.481405654846312e-05,2028
Gp150,FBgn0013272,1,4.491874298742315e-05,0
CG44153,FBgn0265002,1,4.582417917125688e-05,0
CG10483,FBgn0035649,1,4.587314832460591e-05,0
rdo,FBgn0243486,1,4.687500752430474e-05,1031
CG2246,FBgn0039790,1,4.692146922595092e-05,51
CG6362,FBgn0028740,1,4.756382800605553e-05,57
CG34281,FBgn0085310,1,4.806149178481811e-05,0
Prx3,FBgn0038519,1,4.815188888805635e-05,235
Prosap,FBgn0040752,1,4.8927853375027965e-05,0
XLOC_004712,XLOC_004712,1,4.937764494596482e-05,173
CG42790,FBgn0261861,1,5.1333422118332365e-05,3375
