Geneid,Abeta42,Tau,aSyn,HTT128Q,HTT200Q,n_models_DE,mean_log2FC
FBgn0002645,1.1574572425338805,1.25099513390674,1.3689420620633936,1.5531104704931438,1.3210690704640733,5,1.3303147958922463
FBgn0033302,-1.4998908076255775,-1.325973050903502,-1.7765143700322008,-1.042013137130501,-1.5961168419789997,5,-1.4481016415341563
FBgn0038142,-1.206573988899427,-1.1545831156070985,-1.029294736286219,-1.2202407085856812,-1.1493854834230532,5,-1.1520156065602958
FBgn0038214,1.156270134044932,1.4644652546771837,1.5285156497193482,1.0039569387763523,1.7114364389919476,5,1.3729288832419528
FBgn0036597,1.789193895248097,0.8086565903151329,2.482471284477063,2.118417487467817,2.188945634921483,4,1.8775369784859186
FBgn0036619,1.3851816348114234,-0.2782063279613783,1.734534242904067,1.415336940492619,2.0946810847454986,4,1.2703055149984461
FBgn0034475,1.1311522308701933,1.7240900949555655,1.2552200518878767,0.9129722333967428,1.3902557230367576,4,1.282738066829427
FBgn0052282,-2.496144137455843,-1.877231704558957,-0.838449099775099,-2.0539811524503153,-2.8131357374328108,4,-2.015788366334605
FBgn0040732,-1.1088219444148495,-1.2048373016658473,0.12616017836055315,-1.1082155733101182,-1.1739031620148899,4,-0.8939235606090303
FBgn0034328,1.2666955487480553,1.5756146266664166,0.12069205924740978,1.5472606249235332,4.423341830413301,4,1.7867209379997433
FBgn0033728,1.4669297321050934,1.3318735714749963,1.2683824059683955,1.596072225231861,0.771491669210269,4,1.286949920798123
FBgn0028899,0.7045296662959528,1.0354744622677041,1.0418424880364463,1.4649521785567985,2.3090168269694837,4,1.3111631244252773
FBgn0036380,0.28055937607115883,1.3363224230177575,1.0014875259236222,1.1975932146115902,0.4306486100514133,3,0.8493222299351084
FBgn0000079,0.738052184309994,1.4663791819450875,0.09184114118070223,-1.0185306631732145,2.262485318318255,3,0.7080454325161648
FBgn0000299,0.37833164905458866,0.004352515302011359,1.2463657034907512,1.0144869494185789,1.0251692797529053,3,0.733741219403767
FBgn0034660,1.0875704027712796,0.4487547797356806,1.3383633311449412,1.3791364521379106,0.9580185632776543,3,1.0423687058134934
FBgn0040074,1.3307858302428224,0.12417096477956877,1.840792606926171,2.00103353185479,1.8691196194203212,3,1.4331805106447348
FBgn0039782,-0.7270120862038518,-1.6975022292429602,-0.6384904198945888,-1.4477207370008682,-1.7048366521206189,3,-1.2431124248925776
FBgn0036679,1.10288825393911,0.15138807777891486,1.212882621929192,1.1858572206706182,0.7395515877179459,3,0.8785135524071561
FBgn0043005,-0.04101478849500963,-1.4851485033536571,0.04368942339922409,-1.4423512619254022,-1.856386958745862,3,-0.9562424178241414
FBgn0040524,1.3231354836962888,-0.5475330464434888,1.0254653890130363,1.2262796414963417,0.6501600763590393,3,0.7355015088242435
FBgn0265814,0.4955306338016963,0.29296126031607994,1.062249580443445,1.1887805257715887,2.2380048198711022,3,1.0555053640407823
FBgn0052523,0.8416305642854409,1.2376468659426818,1.389604763702725,0.2729042164876346,1.1481796571865255,3,0.9779932135210014
FBgn0283461,-0.2989929039095993,1.432511980370657,0.8902156052089025,1.6760617292691762,5.03647270513714,3,1.7472538232152552
FBgn0013813,1.004106502863429,0.24584129419654047,0.1461673574312211,1.6836230458711297,1.0020516446413419,3,0.8163579690007324
FBgn0015714,-0.6477721031897087,-1.5326897272707038,-4.0384007816607905,-1.0978317512870674,0.22037804241564193,3,-1.4192632641985257
FBgn0028519,0.4017690707223631,0.47199189486115667,2.0198485026475756,-1.053700121977358,1.8756175843767766,3,0.7431053861261028
